Date,Hour,Day_Night,Predicted_Noise,Asymptotic_SKR,Finite_Size_SKR
2026-01-28,0,Night,0.957,0.243,0.2187
2026-01-28,1,Night,0.9554,0.2446,0.2201
2026-01-28,2,Night,0.9555,0.2445,0.22
2026-01-28,3,Night,0.9556,0.2444,0.22
2026-01-28,4,Night,0.9557,0.2443,0.2199
2026-01-28,5,Night,0.956,0.244,0.2196
2026-01-28,6,Day,0.9592,0.2408,0.2167
2026-01-28,7,Day,0.9587,0.2413,0.2172
2026-01-28,8,Day,0.9584,0.2416,0.2175
2026-01-28,9,Day,0.9583,0.2417,0.2175
2026-01-28,10,Day,0.9584,0.2416,0.2175
2026-01-28,11,Day,0.9584,0.2416,0.2175
2026-01-28,12,Day,0.9598,0.2402,0.2162
2026-01-28,13,Day,0.9598,0.2402,0.2161
2026-01-28,14,Day,0.9585,0.2415,0.2174
2026-01-28,15,Day,0.9584,0.2416,0.2175
2026-01-28,16,Day,0.9581,0.2419,0.2177
2026-01-28,17,Day,0.9584,0.2416,0.2175
2026-01-28,18,Day,0.9587,0.2413,0.2172
2026-01-28,19,Night,0.9565,0.2435,0.2191
2026-01-28,20,Night,0.956,0.244,0.2196
2026-01-28,21,Night,0.9557,0.2443,0.2199
2026-01-28,22,Night,0.9556,0.2444,0.22
2026-01-28,23,Night,0.9556,0.2444,0.22
